FILM,STARS,RATING,VOTES
Little Boy (2015),4.5,4.3,811
Far From The Madding Crowd (2015),4.5,4.0,804
Amy (2015),4.5,4.4,729
TCM presents Jaws 40th Anniversary (2015),5.0,4.8,716
Monkey Kingdom (2015),4.5,4.2,701
A Most Violent Year (2014),3.5,3.4,675
American Ultra (2015),4.0,3.7,638
Me and Earl and The Dying Girl (2015),4.5,4.3,624
True Story (2015),3.5,3.2,540
A La Mala (2015),5.0,4.6,536
Danny Collins (2015),4.0,4.0,531
Srimanthudu (2015),4.5,4.1,496
Cake (2015),3.5,3.4,482
Spare Parts (2015),4.5,4.5,450
While We're Young (2015),3.0,2.9,449
The Last: Naruto the Movie (2015),5.0,4.8,409
Tanu Weds Manu Returns (2015),4.5,4.5,400
The Water Diviner (2015),4.5,4.0,397
The Breakfast Club 30th Anniversary (2015),5.0,4.9,381
DIl Dhadakne Do (2015),4.0,4.0,316
Child 44 (2015),4.0,3.7,308
Mr. Turner (2014),3.5,3.2,290
I'll See You In My Dreams (2015),4.0,3.6,281
Star Wars: Episode VII - The Force Awakens (2015),5.0,4.7,261
What We Do in the Shadows (2015),4.5,4.3,259
Irrational Man (2015),4.0,3.5,252
Wild Tales (2014),4.5,4.1,235
Where Hope Grows (2015),4.5,4.3,225
TCM presents Grease Sing-A-Long (2015),5.0,4.6,219
Black Sea (2015),4.0,3.5,218
NT Live: The Audience (2015),5.0,4.7,215
The Vatican Tapes (2015),3.0,2.9,210
'71 (2015),3.5,3.5,192
Beyond the Mask (2015),4.5,4.4,189
Faith Of Our Fathers (2015),4.0,3.9,186
Chocolate City (2015),4.0,3.8,176
Clouds of Sils Maria (2015),3.5,3.4,162
TCM presents Double Indemnity (2015),5.0,4.8,131
DCI 2015 Tour Premiere (2015),5.0,4.7,128
Testament of Youth (2015),4.0,3.9,127
Infinitely Polar Bear (2015),4.0,3.9,124
David and Goliath (2015),3.5,3.2,123
The End of the Tour (2015),4.5,4.1,121
"Two Days, One Night (2014)",3.5,3.5,118
Drishyam (2015),4.5,4.4,117
Bolshoi Ballet: Swan Lake (2015),4.5,4.1,112
Insider Access to Disney Pixarâ€™s Inside Out (2015),5.0,4.7,110
The Overnight (2015),3.5,3.3,110
Detective Byomkesh Bakshy (2015),4.0,3.9,109
The Last Five Years (2015),4.5,4.4,99
Maggie (2015),3.5,3.3,95
RangiTaranga (2015),5.0,4.8,85
Ode to My Father (2014),5.0,4.6,83
The Salt of the Earth (2015),4.5,4.3,83
A Little Chaos (2015),4.0,3.9,83
Angrej (2015),5.0,4.8,80
5 Flights Up (2015),4.0,3.6,79
Dior and I (2015),4.0,4.0,75
Timbuktu (2015),4.0,3.6,74
Brothers: Blood Against Blood (2015),4.0,4.0,74
Phoenix (2015),3.5,3.4,70
Above and Beyond (2015),4.5,4.4,70
Bolshoi Ballet: The Nutcracker (2014),4.5,4.4,70
Bolshoi Ballet: Romeo And Juliet (2015),4.5,4.2,68
A Girl Like Her (2015),4.5,4.2,66
Song of the Sea (2014),4.5,4.3,66
The Wolfpack (2015),3.5,3.4,66
Effie Gray (2015),3.0,2.8,65
Leviathan (2014),4.0,3.5,64
Cartel Land (2015),4.5,4.2,64
Sardaar Ji (2015),4.5,4.4,64
Classic Music Series: Led Zeppelin (2015),4.5,4.5,64
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),4.0,3.9,63
Exhibition OnScreen: The Impressionists (2015),4.0,4.0,62
The Hunger Games: Mockingjay - Part 2 (2015),5.0,4.7,61
Kick 2 (2015),3.0,2.7,60
Royal Ballet: Swan Lake (2015),5.0,4.5,59
Iris (2015),4.0,3.8,59
Gett: The Trial of Viviane Amsalem (2015),3.5,3.5,59
ABCD 2 (2015),4.0,3.8,58
War Room (2015),4.0,3.8,58
Assassination (2015),5.0,4.6,57
Welcome to Me (2015),4.0,3.6,56
The Metropolitan Opera: Iolanta/Duke Bluebeard's Castle (2015),4.0,3.7,56
Dark Places (2015),4.0,3.7,55
Red Army (2015),4.5,4.1,54
Deli Man (2015),4.0,3.8,54
The Stanford Prison Experiment (2015),4.0,3.9,51
Exhibition OnScreen: Vincent Van Gogh (2015),4.5,4.1,50
Unity (2015),4.5,4.2,50
Spectre (2015),4.5,4.3,50
Bin Roye (2015),4.5,4.4,50
Serena (2015),3.0,3.0,50
Escobar: Paradise Lost (2015),4.0,3.9,48
When Marnie Was There (2015),4.5,4.1,46
Felix and Meira (2015),3.5,3.2,46
Exhibition OnScreen: Matisse (2015),4.5,4.0,45
Twinsters (2015),5.0,4.5,44
Meru (2015),4.5,4.5,44
Saint Laurent (2015),3.5,3.1,43
About Elly (2015),4.0,3.6,43
Masss (2015),4.0,3.7,43
The Hunting Ground (2015),4.5,4.1,42
Merchants of Doubt (2014),4.0,3.7,42
Hamari Adhuri Kahani (2015),4.5,4.1,41
Se
